840
  30.811   47.765 4 0
  42.956   45.684 4 0
 351.633   37.271 4 0
   1.886   39.214 4 0
  12.576   40.216 4 0
  23.424   40.216 4 0
  34.114   39.214 4 0
  44.367   37.271 4 0
 350.607   28.755 4 0
 359.533   30.379 4 0
   8.701   31.380 4 0
  18.000   31.718 4 0
  27.299   31.380 4 0
  36.467   30.379 4 0
  45.393   28.755 4 0
  58.952   20.067 4 0
  63.506   13.442 4 0
  67.279   21.959 4 0
  67.812    6.739 4 0
  71.712   15.043 4 0
  75.930   23.275 4 0
  72.000    0.000 4 0
  76.052    8.043 4 0
  80.268   16.045 4 0
  84.837   23.958 4 0
  76.188   -6.739 4 0
  80.422    0.992 4 0
  84.676    8.718 4 0
  89.110   16.395 4 0
  93.907   23.971 4 0
  80.494  -13.442 4 0
  84.944   -6.075 4 0
  89.272    1.328 4 0
  93.626    8.723 4 0
  98.156   16.066 4 0
 103.033   23.307 4 0
  85.048  -20.067 4 0
  89.741  -13.114 4 0
  94.173   -6.081 4 0
  98.490    0.988 4 0
 102.826    8.050 4 0
 107.316   15.066 4 0
 112.110   21.987 4 0
  90.000  -26.565 4 0
  94.952  -20.067 4 0
  99.506  -13.442 4 0
 103.812   -6.739 4 0
 108.000   -0.000 4 0
 112.188    6.739 4 0
 116.494   13.442 4 0
 121.048   20.067 4 0
 130.952   20.067 4 0
 126.000   13.622 4 0
 135.506   13.442 4 0
 121.395    6.916 4 0
 130.605    6.916 4 0
 139.812    6.739 4 0
 117.000    0.000 4 0
 126.000    0.000 4 0
 135.000    0.000 4 0
 144.000   -0.000 4 0
 112.681   -7.079 4 0
 121.559   -7.251 4 0
 130.441   -7.251 4 0
 139.319   -7.079 4 0
 148.188   -6.739 4 0
 108.293  -14.273 4 0
 117.133  -14.781 4 0
 126.000  -14.952 4 0
 134.867  -14.781 4 0
 143.707  -14.273 4 0
 152.494  -13.442 4 0
 103.671  -21.524 4 0
 112.538  -22.522 4 0
 121.501  -23.028 4 0
 130.499  -23.028 4 0
 139.462  -22.522 4 0
 148.329  -21.524 4 0
 157.048  -20.067 4 0
  98.607  -28.755 4 0
 107.533  -30.379 4 0
 116.701  -31.380 4 0
 126.000  -31.718 4 0
 135.299  -31.380 4 0
 144.467  -30.379 4 0
 153.393  -28.755 4 0
 162.000  -26.565 4 0
 139.279   21.959 4 0
 143.712   15.043 4 0
 147.929   23.275 4 0
 148.052    8.043 4 0
 152.268   16.045 4 0
 156.837   23.958 4 0
 152.422    0.992 4 0
 156.676    8.718 4 0
 161.110   16.395 4 0
 165.907   23.971 4 0
 156.943   -6.075 4 0
 161.272    1.328 4 0
 165.626    8.723 4 0
 170.157   16.066 4 0
 175.033   23.307 4 0
 161.741  -13.114 4 0
 166.173   -6.081 4 0
 170.490    0.988 4 0
 174.826    8.050 4 0
 179.316   15.066 4 0
 184.110   21.987 4 0
 166.952  -20.067 4 0
 171.506  -13.442 4 0
 175.812   -6.739 4 0
 180.000   -0.000 4 0
 184.188    6.739 4 0
 188.494   13.442 4 0
 193.048   20.067 4 0
 202.952   20.067 4 0
 198.000   13.622 4 0
 207.506   13.442 4 0
 193.395    6.916 4 0
 202.605    6.916 4 0
 211.812    6.739 4 0
 189.000    0.000 4 0
 198.000    0.000 4 0
 207.000    0.000 4 0
